canonical_ticker_fja,last_seen_as_is_in_bk,first_absent_in_bk,candidate_new_symbols_in_bk,detection_type,sec_edgar_verdict,resolved_historical_ticker,resolution_confidence,resolution_note,confidence_tier
AABA,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",YHOO,확정(직접검증),Yahoo Inc — 2017년 6월 AABA로 개명,Tier1: 알고리즘 확인
ABKFQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",ABK,높음,"Ambac Financial Group — 2010년 파산, ABK->ABKFQ",Tier1: 알고리즘 확인
ANRZQ,,2011-06-30,"['AA', 'ACE', 'ANR', 'BHI', 'BTU', 'CBG', 'COH', 'CSC', 'DPS', 'DV', 'ERTS', 'FO', 'GCI', 'HCN', 'JDSU', 'JOYG', 'KFT', 'LTD', 'LUK', 'MHP', 'NU', 'PCLN', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFR', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",ANR,높음,Alpha Natural Resources — 2015년 파산,Tier1: 알고리즘 확인
ATGE,,2009-06-30,"['AA', 'AOC', 'BHI', 'BTU', 'CBG', 'CIT', 'COH', 'CSC', 'DPS', 'DV', 'EK', 'ERTS', 'FO', 'FPL', 'GCI', 'HCN', 'JDSU', 'KFT', 'LTD', 'LUK', 'MHP', 'MOT', 'NU', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",DV,높음,DeVry Inc — 2017년 Adtalem으로 사명 변경,Tier1: 알고리즘 확인
BNI,2009-12-31,2010-01-31,"['BRK.B', 'MXB', 'NYSE:\xa0CLF', 'NYSE:\xa0CLX', 'NYSE:\xa0CMS', 'NYSE:\xa0COH', 'NYSE:\xa0SAI', 'NYSE:\xa0V', 'Nasdaq:\xa0CME', 'Nasdaq:\xa0ROST']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨),,,,미해결
BRCM,2015-12-31,2016-01-31,"['CFG', 'FRT']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨),,,,미해결
BTUUQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",BTU,높음,Peabody Energy — 2016년 파산,Tier1: 알고리즘 확인
CCEP,,2016-01-31,"['AA', 'BHI', 'CBG', 'COH', 'DLPH', 'DPS', 'HCN', 'LUK', 'MHFI', 'PCLN', 'TSO', 'TYC', 'WYN', 'YHOO']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",CCE,높음,Coca-Cola Enterprises — 2016년 유럽 보틀러와 합병,Tier2: 지식기반 추정(알고리즘 미확인)
CCTYQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",CC,높음,Circuit City Stores — 2008년 11월 파산,Tier1: 알고리즘 확인
CITGQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",CIT,높음,CIT Group — 2009년 파산,Tier1: 알고리즘 확인
